date,item_id,category,sales,unit_price
2023-01-01,101,Dairy,49,100.00
2023-01-01,102,Snacks,37,50.00
2023-01-01,103,Beverages,10,75.00
2023-01-01,104,Grains,28,120.00
2023-01-01,105,Produce,9,90.00
2023-01-02,101,Dairy,48,100.00
2023-01-02,102,Snacks,23,50.00
2023-01-02,103,Beverages,12,75.00
2023-01-02,104,Grains,38,120.00
2023-01-02,105,Produce,43,90.00
2023-01-03,101,Dairy,12,100.00
2023-01-03,102,Snacks,17,50.00
2023-01-03,103,Beverages,5,75.00
2023-01-03,104,Grains,12,120.00
2023-01-03,105,Produce,8,90.00
2023-01-04,101,Dairy,20,100.00
2023-01-04,102,Snacks,11,50.00
2023-01-04,103,Beverages,45,75.00
2023-01-04,104,Grains,30,120.00
2023-01-04,105,Produce,30,90.00
2023-01-05,101,Dairy,21,100.00
2023-01-05,102,Snacks,10,50.00
2023-01-05,103,Beverages,18,75.00
2023-01-05,104,Grains,35,120.00
2023-01-05,105,Produce,2,90.00
2023-01-06,101,Dairy,32,100.00
2023-01-06,102,Snacks,20,50.00
2023-01-06,103,Beverages,44,75.00
2023-01-06,104,Grains,35,120.00
2023-01-06,105,Produce,37,90.00
2023-01-07,101,Dairy,25,100.00
2023-01-07,102,Snacks,21,50.00
2023-01-07,103,Beverages,12,75.00
2023-01-07,104,Grains,5,120.00
2023-01-07,105,Produce,18,90.00
2023-01-08,101,Dairy,12,100.00
2023-01-08,102,Snacks,5,50.00
2023-01-08,103,Beverages,33,75.00
2023-01-08,104,Grains,36,120.00
2023-01-08,105,Produce,40,90.00
2023-01-09,101,Dairy,45,100.00
2023-01-09,102,Snacks,3,50.00
2023-01-09,103,Beverages,28,75.00
2023-01-09,104,Grains,26,120.00
2023-01-09,105,Produce,20,90.00
2023-01-10,101,Dairy,6,100.00
2023-01-10,102,Snacks,46,50.00
2023-01-10,103,Beverages,41,75.00
2023-01-10,104,Grains,6,120.00
2023-01-10,105,Produce,19,90.00
2023-01-11,101,Dairy,38,100.00
2023-01-11,102,Snacks,21,50.00
2023-01-11,103,Beverages,37,75.00
2023-01-11,104,Grains,20,120.00
2023-01-11,105,Produce,32,90.00
2023-01-12,101,Dairy,50,100.00
2023-01-12,102,Snacks,31,50.00
2023-01-12,103,Beverages,39,75.00
2023-01-12,104,Grains,16,120.00
2023-01-12,105,Produce,37,90.00
2023-01-13,101,Dairy,43,100.00
2023-01-13,102,Snacks,50,50.00
2023-01-13,103,Beverages,40,75.00
2023-01-13,104,Grains,39,120.00
2023-01-13,105,Produce,21,90.00
2023-01-14,101,Dairy,39,100.00
2023-01-14,102,Snacks,50,50.00
2023-01-14,103,Beverages,1,75.00
2023-01-14,104,Grains,44,120.00
2023-01-14,105,Produce,30,90.00
2023-01-15,101,Dairy,15,100.00
2023-01-15,102,Snacks,39,50.00
2023-01-15,103,Beverages,29,75.00
2023-01-15,104,Grains,44,120.00
2023-01-15,105,Produce,4,90.00
2023-01-16,101,Dairy,1,100.00
2023-01-16,102,Snacks,36,50.00
2023-01-16,103,Beverages,16,75.00
2023-01-16,104,Grains,3,120.00
2023-01-16,105,Produce,21,90.00
2023-01-17,101,Dairy,14,100.00
2023-01-17,102,Snacks,13,50.00
2023-01-17,103,Beverages,4,75.00
2023-01-17,104,Grains,35,120.00
2023-01-17,105,Produce,1,90.00
2023-01-18,101,Dairy,33,100.00
2023-01-18,102,Snacks,6,50.00
2023-01-18,103,Beverages,14,75.00
2023-01-18,104,Grains,23,120.00
2023-01-18,105,Produce,40,90.00
2023-01-19,101,Dairy,36,100.00
2023-01-19,102,Snacks,42,50.00
2023-01-19,103,Beverages,11,75.00
2023-01-19,104,Grains,18,120.00
2023-01-19,105,Produce,31,90.00
2023-01-20,101,Dairy,2,100.00
2023-01-20,102,Snacks,10,50.00
2023-01-20,103,Beverages,2,75.00
2023-01-20,104,Grains,11,120.00
2023-01-20,105,Produce,10,90.00
2023-01-21,101,Dairy,19,100.00
2023-01-21,102,Snacks,3,50.00
2023-01-21,103,Beverages,20,75.00
2023-01-21,104,Grains,32,120.00
2023-01-21,105,Produce,20,90.00
2023-01-22,101,Dairy,44,100.00
2023-01-22,102,Snacks,9,50.00
2023-01-22,103,Beverages,28,75.00
2023-01-22,104,Grains,10,120.00
2023-01-22,105,Produce,2,90.00
2023-01-23,101,Dairy,31,100.00
2023-01-23,102,Snacks,0,50.00
2023-01-23,103,Beverages,30,75.00
2023-01-23,104,Grains,27,120.00
2023-01-23,105,Produce,29,90.00
2023-01-24,101,Dairy,48,100.00
2023-01-24,102,Snacks,25,50.00
2023-01-24,103,Beverages,47,75.00
2023-01-24,104,Grains,26,120.00
2023-01-24,105,Produce,24,90.00
2023-01-25,101,Dairy,3,100.00
2023-01-25,102,Snacks,15,50.00
2023-01-25,103,Beverages,24,75.00
2023-01-25,104,Grains,7,120.00
2023-01-25,105,Produce,4,90.00
2023-01-26,101,Dairy,27,100.00
2023-01-26,102,Snacks,9,50.00
2023-01-26,103,Beverages,35,75.00
2023-01-26,104,Grains,42,120.00
2023-01-26,105,Produce,21,90.00
2023-01-27,101,Dairy,50,100.00
2023-01-27,102,Snacks,1,50.00
2023-01-27,103,Beverages,39,75.00
2023-01-27,104,Grains,12,120.00
2023-01-27,105,Produce,33,90.00
2023-01-28,101,Dairy,35,100.00
2023-01-28,102,Snacks,24,50.00
2023-01-28,103,Beverages,36,75.00
2023-01-28,104,Grains,0,120.00
2023-01-28,105,Produce,11,90.00
2023-01-29,101,Dairy,14,100.00
2023-01-29,102,Snacks,20,50.00
2023-01-29,103,Beverages,30,75.00
2023-01-29,104,Grains,12,120.00
2023-01-29,105,Produce,13,90.00
2023-01-30,101,Dairy,29,100.00
2023-01-30,102,Snacks,17,50.00
2023-01-30,103,Beverages,11,75.00
2023-01-30,104,Grains,1,120.00
2023-01-30,105,Produce,0,90.00
2023-01-31,101,Dairy,47,100.00
2023-01-31,102,Snacks,30,50.00
2023-01-31,103,Beverages,22,75.00
2023-01-31,104,Grains,2,120.00
2023-01-31,105,Produce,0,90.00
2023-02-01,101,Dairy,19,100.00
2023-02-01,102,Snacks,1,50.00
2023-02-01,103,Beverages,30,75.00
2023-02-01,104,Grains,50,120.00
2023-02-01,105,Produce,22,90.00
2023-02-02,101,Dairy,23,100.00
2023-02-02,102,Snacks,20,50.00
2023-02-02,103,Beverages,50,75.00
2023-02-02,104,Grains,20,120.00
2023-02-02,105,Produce,25,90.00
2023-02-03,101,Dairy,24,100.00
2023-02-03,102,Snacks,19,50.00
2023-02-03,103,Beverages,38,75.00
2023-02-03,104,Grains,15,120.00
2023-02-03,105,Produce,28,90.00
2023-02-04,101,Dairy,0,100.00
2023-02-04,102,Snacks,30,50.00
2023-02-04,103,Beverages,22,75.00
2023-02-04,104,Grains,23,120.00
2023-02-04,105,Produce,30,90.00
2023-02-05,101,Dairy,1,100.00
2023-02-05,102,Snacks,49,50.00
2023-02-05,103,Beverages,46,75.00
2023-02-05,104,Grains,15,120.00
2023-02-05,105,Produce,9,90.00
2023-02-06,101,Dairy,12,100.00
2023-02-06,102,Snacks,2,50.00
2023-02-06,103,Beverages,7,75.00
2023-02-06,104,Grains,4,120.00
2023-02-06,105,Produce,47,90.00
2023-02-07,101,Dairy,20,100.00
2023-02-07,102,Snacks,45,50.00
2023-02-07,103,Beverages,12,75.00
2023-02-07,104,Grains,18,120.00
2023-02-07,105,Produce,17,90.00
2023-02-08,101,Dairy,20,100.00
2023-02-08,102,Snacks,30,50.00
2023-02-08,103,Beverages,15,75.00
2023-02-08,104,Grains,48,120.00
2023-02-08,105,Produce,31,90.00
2023-02-09,101,Dairy,14,100.00
2023-02-09,102,Snacks,33,50.00
2023-02-09,103,Beverages,35,75.00
2023-02-09,104,Grains,46,120.00
2023-02-09,105,Produce,13,90.00
2023-02-10,101,Dairy,26,100.00
2023-02-10,102,Snacks,39,50.00
2023-02-10,103,Beverages,11,75.00
2023-02-10,104,Grains,44,120.00
2023-02-10,105,Produce,38,90.00
2023-02-11,101,Dairy,1,100.00
2023-02-11,102,Snacks,20,50.00
2023-02-11,103,Beverages,30,75.00
2023-02-11,104,Grains,49,120.00
2023-02-11,105,Produce,14,90.00
2023-02-12,101,Dairy,28,100.00
2023-02-12,102,Snacks,46,50.00
2023-02-12,103,Beverages,4,75.00
2023-02-12,104,Grains,8,120.00
2023-02-12,105,Produce,26,90.00
2023-02-13,101,Dairy,49,100.00
2023-02-13,102,Snacks,37,50.00
2023-02-13,103,Beverages,33,75.00
2023-02-13,104,Grains,50,120.00
2023-02-13,105,Produce,47,90.00
2023-02-14,101,Dairy,34,100.00
2023-02-14,102,Snacks,7,50.00
2023-02-14,103,Beverages,15,75.00
2023-02-14,104,Grains,19,120.00
2023-02-14,105,Produce,48,90.00
2023-02-15,101,Dairy,38,100.00
2023-02-15,102,Snacks,32,50.00
2023-02-15,103,Beverages,9,75.00
2023-02-15,104,Grains,42,120.00
2023-02-15,105,Produce,21,90.00
2023-02-16,101,Dairy,1,100.00
2023-02-16,102,Snacks,17,50.00
2023-02-16,103,Beverages,12,75.00
2023-02-16,104,Grains,11,120.00
2023-02-16,105,Produce,1,90.00
2023-02-17,101,Dairy,44,100.00
2023-02-17,102,Snacks,19,50.00
2023-02-17,103,Beverages,48,75.00
2023-02-17,104,Grains,28,120.00
2023-02-17,105,Produce,36,90.00
2023-02-18,101,Dairy,16,100.00
2023-02-18,102,Snacks,46,50.00
2023-02-18,103,Beverages,20,75.00
2023-02-18,104,Grains,44,120.00
2023-02-18,105,Produce,47,90.00
2023-02-19,101,Dairy,41,100.00
2023-02-19,102,Snacks,12,50.00
2023-02-19,103,Beverages,39,75.00
2023-02-19,104,Grains,32,120.00
2023-02-19,105,Produce,45,90.00
2023-02-20,101,Dairy,38,100.00
2023-02-20,102,Snacks,42,50.00
2023-02-20,103,Beverages,31,75.00
2023-02-20,104,Grains,8,120.00
2023-02-20,105,Produce,1,90.00
2023-02-21,101,Dairy,20,100.00
2023-02-21,102,Snacks,3,50.00
2023-02-21,103,Beverages,33,75.00
2023-02-21,104,Grains,6,120.00
2023-02-21,105,Produce,1,90.00
2023-02-22,101,Dairy,8,100.00
2023-02-22,102,Snacks,44,50.00
2023-02-22,103,Beverages,38,75.00
2023-02-22,104,Grains,19,120.00
2023-02-22,105,Produce,32,90.00
2023-02-23,101,Dairy,48,100.00
2023-02-23,102,Snacks,22,50.00
2023-02-23,103,Beverages,15,75.00
2023-02-23,104,Grains,37,120.00
2023-02-23,105,Produce,2,90.00
2023-02-24,101,Dairy,7,100.00
2023-02-24,102,Snacks,9,50.00
2023-02-24,103,Beverages,0,75.00
2023-02-24,104,Grains,25,120.00
2023-02-24,105,Produce,24,90.00
2023-02-25,101,Dairy,4,100.00
2023-02-25,102,Snacks,17,50.00
2023-02-25,103,Beverages,43,75.00
2023-02-25,104,Grains,12,120.00
